v3,03/Jun/2026,08:18:26,UTC

SCRIPT
Name,Regress PRO EN
Description,
Created,21/Jun/2023,11:48:17

REPORT COMMENTS
(none)

,,,show,number
,,,show,tester
,,,show,date
,,,hide,time
,,,hide,tag filter
,,,show,build
""
,,,,pass
,,,,fail
,,,,blocked
,,,,tried

number,indent,text,tags,notes
189,3,"After the response arrives, the loader disappears and the Omniston rate is shown in white as usual",,
190,3,Tapping Continue,,
191,4,the client unsubscribes from new swap events,,
192,3,The Send/Receive toggle swaps amount and token completely [bug],,
193,3,The user can set maximum,,
194,3,"For the TON-token pair, the maximum will be reduced by the fee amount",,
195,3,Token selection (swaps are only inside TON):,,
196,4,The TON assets/Other crypto labels are not shown yet,,
197,4,All tokens are shown in one list without collapsing,,
198,4,"For Send: balance is shown next to each token; sort order is TON first, then by balance descending",,
199,4,For Receive: full name is shown next to each token; sort order matches the backend,,
200,4,Token search works:,,
201,5,"Before search starts, the full token list is shown",,
202,5,Search starts from one character,,
203,5,A stub is shown if nothing is found,,
204,4,The approximate exchange rate is shown on two lines,,
205,3,Confirm Swap screen,,
206,4,A timer on the slider shows time left before signing (provider quote expires),,
207,4,"When the timer expires -> error ""Swap expired..."" is shown",,
208,4,"After confirmation, the success screen appears, then navigation to general or token-specific history (depending on entry point)",,
209,4,The provider is always shown as Omniston (value from the backend),,
210,2,,,
211,2,Staking Screen,,
212,3,Tonstakers,,
213,4,"Feature: after sending a TON deposit, an equivalent amount of tsTON tokens arrives on the balance",,
214,4,tsTON can be sent/swapped like a regular token,,
215,5,From the pool screen → tsTON,,
216,5,Standard sending flow → choose tsTON in the token list,,
217,3,"Deposit - ""Stake""",,
218,4,Tonstakers: minimum 2.2 TON (from 1 TON we can stake; 1.2 TON we force to leave on the balance to cover fees) [the 1.2 TON fee checks have not been done yet],,
219,3,"The value of staked funds is displayed in TON and fiat next to the pool name (in the token list, on the pool screen)",,
220,3,"Withdrawal request - ""Unstake""",,
221,4,"Information about the next cycle is displayed, the time changes in real time",,
222,4,The user can request withdrawal of part or all funds,,
223,3,Withdrawal ready,,
224,4,Tonstakers -> TON arrives on the balance automatically,,
225,4,,,
226,1,,,
227,1,Tokens,,
228,2,The correct exchange rate is displayed for TON and jettons,,
229,2,The list of visible jettons can be set in Settings (Manage tokens),,
230,2,Jettons can be sorted by dragging,,
231,2,"By default, blacklist tokens are hidden",,"white list
https://github.com/ton-community/ton-assets/tree/main/jettons"
232,2,Tapping TON opens the Toncoin screen,,
233,2,Tapping <token> opens the <token> screen,,
234,2,<jetton> or TON screen,,
235,3,The correct balance is displayed (only for tokens for which a rate comes from tonapi),,
236,3,Send and receive flows work according to the TON send and receive rules,,
237,2,"Transaction history is displayed correctly, only transactions for the specific jetton",,
238,1,,,
239,1,Collectibles,,
240,2,"If there are no NFTs, the Collectibles tab is not displayed",,
241,2,"The NFT list is displayed correctly, with all images",,
